"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Couches","Default Category/Products","44","Yes","couches","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Counters","Default Category/Products","45","Yes","counters","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Wicker Sofas","Default Category/Products","57","Yes","discount-wicker-sofas","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Wicker Patio Furniture","Default Category/Products","56","Yes","discount-wicker-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Wicker Furniture","Default Category/Products","55","Yes","discount-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Sofas","Default Category/Products","54","Yes","discount-sofas","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Patio Furniture","Default Category/Products","53","Yes","discount-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Outdoor Furniture","Default Category/Products","52","Yes","discount-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Discount Furniture","Default Category/Products","51","Yes","discount-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Dining Set","Default Category/Products","50","Yes","dining-set","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Deep Seating","Default Category/Products","49","Yes","deep-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Deck Furniture","Default Category/Products","48","Yes","deck-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Deck Chairs","Default Category/Products","47","Yes","deck-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Daybeds","Default Category/Products","46","Yes","daybeds","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Outdoor Wicker Furniture","Default Category/Products","30","Yes","cheap-outdoor-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Outdoor Furniture","Default Category/Products","29","Yes","cheap-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Wicker","Default Category/Products","13","Yes","all-weather-wicker","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Resin","Default Category/Products","12","Yes","all-weather-resin","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Outdoor Patio Furniture","Default Category/Products","11","Yes","all-weather-outdoor-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Outdoor Fabrics","Default Category/Products","10","Yes","all-weather-outdoor-fabrics","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Furniture","Default Category/Products","9","Yes","all-weather-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Fabrics","Default Category/Products","8","Yes","all-weather-fabrics","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather","Default Category/Products","7","Yes","all-weather","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Affordable Wicker Furniture","Default Category/Products","6","Yes","affordable-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Affordable Patio Furniture","Default Category/Products","5","Yes","affordable-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Affordable Outdoor Furniture","Default Category/Products","4","Yes","affordable-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Affordable Furniture","Default Category/Products","3","Yes","affordable-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Adirondack Furniture","Default Category/Products","2","Yes","adirondack-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"All-Weather Wicker Furniture","Default Category/Products","14","Yes","all-weather-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Balcony Furniture","Default Category/Products","15","Yes","balcony-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Balcony Patio Sets","Default Category/Products","16","Yes","balcony-patio-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cheap Furniture","Default Category/Products","28","Yes","cheap-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Chaise","Default Category/Products","27","Yes","chaise","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Chairs","Default Category/Products","26","Yes","chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cafe Sets","Default Category/Products","25","Yes","cafe-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Cabin Furniture","Default Category/Products","24","Yes","cabin-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Buy Wicker Furniture Online","Default Category/Products","23","Yes","buy-wicker-furniture-online","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Buy Furniture Online","Default Category/Products","22","Yes","buy-furniture-online","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Bistro Sets","Default Category/Products","21","Yes","bistro-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Benches","Default Category/Products","20","Yes","benches","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Beach Chairs","Default Category/Products","19","Yes","beach-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Bar Furniture","Default Category/Products","18","Yes","bar-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Balcony Sets","Default Category/Products","17","Yes","balcony-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Products","1","Yes","accessories","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Essentials","Default Category/Products","59","Yes","essentials","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Patio Furniture for Sale","Default Category/Products","117","Yes","outdoor-patio-furniture-for-sale","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
